"id","coin_id","symbol","name","price_usd","market_cap","volume_24h","timestamp"
58,avalanche-2,avax,Avalanche,20.98,8845855688,337480050,2025-06-04 15:53:43.732 +0300
59,stellar,xlm,Stellar,0.27169,8470858222,177311386,2025-06-04 15:53:43.732 +0300
60,litecoin,ltc,Litecoin,89.94,6829236063,284697708,2025-06-04 15:53:43.732 +0300
61,polkadot,dot,Polkadot,4.09,6241664452,176201272,2025-06-04 15:53:43.732 +0300
62,uniswap,uni,Uniswap,6.72,4038965730,491106112,2025-06-04 15:53:43.732 +0300
63,aptos,apt,Aptos,4.89,3088275005,120251168,2025-06-04 15:53:43.732 +0300
64,render-token,render,Render,3.91,2025965847,101396401,2025-06-04 15:53:43.732 +0300
65,bitcoin,btc,Bitcoin,105039,2087482353925,26022488806,2025-06-04 15:53:46.743 +0300
66,ethereum,eth,Ethereum,2624.7,316877828130,15254782990,2025-06-04 15:53:46.743 +0300
67,tether,usdt,Tether,1.0,153376752810,33954347038,2025-06-04 15:53:46.743 +0300
68,binancecoin,bnb,BNB,668.06,97468208544,435440582,2025-06-04 15:53:46.743 +0300
69,solana,sol,Solana,155.74,81383573517,3449906902,2025-06-04 15:53:46.743 +0300
70,dogecoin,doge,Dogecoin,0.193011,28860801748,825751349,2025-06-04 15:53:46.743 +0300
71,tron,trx,TRON,0.27175,25786977670,441887753,2025-06-04 15:53:46.743 +0300
72,cardano,ada,Cardano,0.69078,24926515273,497010819,2025-06-04 15:53:46.743 +0300
73,chainlink,link,Chainlink,14.14,9289958197,288375384,2025-06-04 15:53:46.743 +0300
74,avalanche-2,avax,Avalanche,20.98,8845855688,337480050,2025-06-04 15:53:46.743 +0300
75,stellar,xlm,Stellar,0.27169,8470858222,177311386,2025-06-04 15:53:46.743 +0300
76,litecoin,ltc,Litecoin,89.94,6829236063,284697708,2025-06-04 15:53:46.743 +0300
77,polkadot,dot,Polkadot,4.09,6241664452,176201272,2025-06-04 15:53:46.743 +0300
78,uniswap,uni,Uniswap,6.72,4038965730,491106112,2025-06-04 15:53:46.743 +0300
79,aptos,apt,Aptos,4.89,3088275005,120251168,2025-06-04 15:53:46.743 +0300
80,render-token,render,Render,3.91,2025965847,101396401,2025-06-04 15:53:46.743 +0300
81,bitcoin,btc,Bitcoin,105024,2087251067262,28420129429,2025-06-04 15:58:34.761 +0300
82,ethereum,eth,Ethereum,2623.88,316847231818,14217675023,2025-06-04 15:58:34.761 +0300
83,tether,usdt,Tether,1.0,153377445713,43900609830,2025-06-04 15:58:34.761 +0300
84,binancecoin,bnb,BNB,668.03,97455974060,435095302,2025-06-04 15:58:34.761 +0300
85,solana,sol,Solana,155.77,81393207534,3450554486,2025-06-04 15:58:34.761 +0300
86,dogecoin,doge,Dogecoin,0.193029,28866126778,826951637,2025-06-04 15:58:34.761 +0300
87,tron,trx,TRON,0.271659,25773076852,442329954,2025-06-04 15:58:34.761 +0300
88,cardano,ada,Cardano,0.690532,24929493305,491909610,2025-06-04 15:58:34.761 +0300
89,chainlink,link,Chainlink,14.14,9290539020,288587037,2025-06-04 15:58:34.761 +0300
90,avalanche-2,avax,Avalanche,20.99,8847545244,337591349,2025-06-04 15:58:34.761 +0300
91,stellar,xlm,Stellar,0.271592,8468445713,174188121,2025-06-04 15:58:34.761 +0300
92,litecoin,ltc,Litecoin,89.96,6830270676,284249943,2025-06-04 15:58:34.761 +0300
93,polkadot,dot,Polkadot,4.08,6230547414,183933049,2025-06-04 15:58:34.761 +0300
94,uniswap,uni,Uniswap,6.71,4035084948,493965429,2025-06-04 15:58:34.761 +0300
95,aptos,apt,Aptos,4.89,3086673265,116616717,2025-06-04 15:58:34.761 +0300
96,render-token,render,Render,3.91,2023522150,101471424,2025-06-04 15:58:34.761 +0300
97,bitcoin,btc,Bitcoin,105026,2087251067262,28432719344,2025-06-04 16:00:11.074 +0300
98,ethereum,eth,Ethereum,2623.45,316847231818,15234758086,2025-06-04 16:00:11.074 +0300
99,tether,usdt,Tether,1.0,153377445713,44150640545,2025-06-04 16:00:11.074 +0300
100,binancecoin,bnb,BNB,668.01,97455974060,434933441,2025-06-04 16:00:11.074 +0300
101,solana,sol,Solana,155.77,81393207534,3451031978,2025-06-04 16:00:11.074 +0300
102,dogecoin,doge,Dogecoin,0.193008,28866126778,827105680,2025-06-04 16:00:11.074 +0300
103,tron,trx,TRON,0.271647,25767801275,442376939,2025-06-04 16:00:11.074 +0300
104,cardano,ada,Cardano,0.69036,24914359243,498718847,2025-06-04 16:00:11.074 +0300
105,chainlink,link,Chainlink,14.14,9289826493,288304555,2025-06-04 16:00:11.074 +0300
106,avalanche-2,avax,Avalanche,20.99,8848121800,337630894,2025-06-04 16:00:11.074 +0300
107,stellar,xlm,Stellar,0.271553,8468445713,174398266,2025-06-04 16:00:11.074 +0300
108,litecoin,ltc,Litecoin,89.96,6830270676,284379233,2025-06-04 16:00:11.074 +0300
109,polkadot,dot,Polkadot,4.08,6216730477,183998060,2025-06-04 16:00:11.074 +0300
110,uniswap,uni,Uniswap,6.71,4028601542,423565200,2025-06-04 16:00:11.074 +0300
